"ID","Fact"
307,"Some bacteria can survive being frozen for thousands of years."
308,"The Moon has quakes similar to earthquakes, caused by tidal forces."
309,"Some plants release chemicals to warn nearby plants of insect attacks."
310,"The Earth’s rotation causes a slight bulge at the equator."
311,"Some fish can change their sex depending on environmental conditions."
312,"The Sun is classified as a G-type main-sequence star."
313,"Some animals use echolocation to navigate in complete darkness."
314,"The deepest known point in the ocean has been visited fewer times than the Moon."
315,"Some fungi form symbiotic relationships with plant roots (mycorrhizae)."
316,"The Earth completes one rotation in approximately 24 hours."
317,"Some insects communicate using chemical pheromones."
318,"The Sun emits solar wind that affects Earth’s magnetic field."
319,"Some animals can survive without water for extended periods by conserving moisture."
320,"The Milky Way galaxy contains an estimated 100–400 billion stars."
321,"Some bacteria can live in environments with no oxygen or sunlight."
322,"The Moon’s surface is covered in a layer of fine dust called regolith."
323,"Some animals can detect infrared radiation (heat)."
324,"The Earth’s magnetic field is generated by its molten iron core."
325,"Some plants can live in extremely salty environments (halophytes)."
326,"The Sun accounts for about 99.86% of the Solar System’s total mass."
327,"Some fish have evolved to survive in complete darkness in deep oceans."
328,"The Earth’s continents are slowly drifting apart due to plate tectonics."
329,"Some animals can slow their metabolism dramatically to survive harsh conditions."
330,"The universe contains more galaxies than stars in the Milky Way alone."
331,"Some bacteria can produce electricity through metabolic processes."
332,"The Moon is slowly locking Earth’s rotation over billions of years (tidal locking trend)."
333,"Some animals can regenerate parts of their nervous system."
334,"The Sun’s energy output varies slightly over an 11-year cycle."
335,"Some fungi can break down petroleum and oil pollutants."
336,"The Earth’s crust is thinner under oceans than under continents."
337,"Some insects can survive being submerged in ice and reanimate later."
338,"The Mariana Trench has pressures over 1,000 times atmospheric pressure."
339,"Some plants can survive extreme drought by entering dormancy."
340,"The Sun will eventually expand enough to engulf inner planets."
341,"Some animals use bioluminescence to attract prey or mates."
342,"The Earth is slightly asymmetrical due to variations in mass distribution."
343,"Some bacteria can survive in highly acidic environments like stomach acid."
344,"The Moon influences not just oceans but also Earth’s crust slightly (solid tides)."
345,"Some birds can migrate using the stars as navigation guides."
346,"The Earth’s atmosphere protects life by filtering harmful solar radiation."
347,"Some animals can detect chemical changes in water from miles away."
348,"The Sun’s core reaches temperatures of about 15 million °C."
349,"Some fungi can survive in highly radioactive environments."
350,"The universe is estimated to be expanding faster over time due to dark energy."
351,"Some fish species can live for over 200 years."
352,"The Earth has experienced at least five major mass extinction events."
353,"Some bacteria can survive exposure to outer space vacuum conditions."
354,"The Moon has no global magnetic field."
355,"Some plants can reproduce without seeds through cloning methods."
356,"The Sun is about halfway through its expected lifespan."
357,"Some animals can survive long periods of starvation by reducing energy use."
358,"The Earth’s oceans contain more dissolved gold than all mined gold on land."
359,"Some insects can communicate through vibrations in plant stems."
360,"The Milky Way is part of a galaxy group called the Local Group."
361,"Some bacteria can survive temperatures above boiling point under pressure."
362,"The Moon’s far side was not seen by humans until 1959."
363,"Some animals have evolved transparent bodies for camouflage."
364,"The Sun’s gravity holds the entire Solar System in orbit."
365,"Some plants can grow in almost complete darkness using stored energy."
366,"The Earth’s rotation speed is gradually decreasing over time."
367,"Some fish can generate electric fields for navigation."
368,"The universe contains regions where time and space behave differently near black holes."
369,"Some bacteria can survive on very little energy for long periods."
370,"The Moon’s gravity causes Earth’s oceans to bulge, creating tides."
371,"Some animals can survive extreme cold by producing antifreeze proteins."
372,"The Sun’s magnetic field reverses every 11 years."
373,"Some fungi can form vast underground networks spanning kilometers."
374,"The Earth is the only known planet with liquid water on its surface."
375,"Some birds can travel thousands of kilometers without stopping."
376,"The Milky Way is expected to collide with Andromeda in about 4–5 billion years."
377,"Some bacteria can survive in extremely high salinity environments."
378,"The Moon affects animal behavior, especially nocturnal species."
379,"Some plants can live in environments with almost no nutrients."
380,"The Sun loses about 4 million tons of mass per second through fusion."
381,"Some animals can regenerate full limbs, including bones and nerves."
382,"The Earth’s mantle is mostly solid but flows slowly over time."
383,"Some insects have existed virtually unchanged for hundreds of millions of years."
384,"The universe is filled with cosmic microwave background radiation."
385,"Some bacteria can survive in boiling hydrothermal vents."
386,"The Moon is gradually drifting away from Earth by about 3.8 cm per year."
387,"Some animals can sense Earth’s magnetic field for navigation."
388,"The Sun’s light pressure helps shape comet tails."
389,"Some plants can survive being completely submerged in water for long periods."
390,"The Earth’s oceans cover more than 70% of its surface."
391,"Some bacteria can survive extreme dehydration by forming spores."
392,"The Moon’s gravity is about 1.62 m/s²."
393,"Some animals can survive long periods without oxygen (anoxia tolerance)."
394,"The Sun’s surface is constantly boiling with plasma activity."
395,"Some fungi can decompose almost any organic material."
396,"The Earth’s atmosphere is essential for maintaining stable temperatures."
397,"Some fish can detect electric fields produced by other organisms."
398,"The universe contains more than two trillion galaxies (estimated)."
399,"Some animals can survive in environments with no sunlight."
400,"The Moon plays a key role in stabilizing Earth’s axial tilt."
